# Raw Optimization Data,,,,,,,,,
# ,P5 - SIDE_OUTLET_D1 (m) ,P6 - MID_OUT_LET_D1 (m) ,P1 - MID_RED_LEN (m) ,P2 - MID_PIPE_LEN (m) ,P3 - SIDE_PIPE_LEN_L6 (m) ,P4 - SIDE_RED_LEN_H7 (m) ,P7 - report-2x-side-outlet-q-op (m^3 s^-1) ,P8 - report-mid-outlet-q-op (m^3 s^-1) ,P9 - report-inlet-q-op (m^3 s^-1) 
Name,P5,P6,P1,P2,P3,P4,P7,P8,P9
28,0.1805181570610945,0.17440455776416044,0.34017949,1.659820509938722,1.6873317067749252,0.31266829322507472,0.015001342,0.008331914,0.023333324
29,0.18051815728439866,0.17440455835740876,0.3401794873916606,1.6598205126083394,1.687331707779794,0.31266829222020603,0.014998686,0.008334378,0.023333324
30,0.18051815730672907,0.17440455841673358,0.34017948712469892,1.6598205128753012,1.6873317078802808,0.31266829211971919,0.014998759,0.008334602,0.023333324
31,0.18051815730896209,0.17440455842266606,0.34017948709800272,1.6598205129019972,1.6873317078903294,0.31266829210967062,0.014999544,0.008333512,0.023333324
32,0.18051815730909052,0.17440455842300726,0.34017948709646734,1.6598205129035326,1.6873317078909074,0.31266829210909269,0.014999544,0.008333512,0.023333324
33,0.18051815730915247,0.17440455842317182,0.34017948709572682,1.6598205129042731,1.687331707891186,0.31266829210881392,0.014999544,0.008333512,0.023333324
34,0.18051815730918236,0.17440455842325123,0.34017948709536949,1.6598205129046306,1.6873317078913206,0.31266829210867941,0.014999544,0.008333512,0.023333324
35,0.18051815730919679,0.17440455842328953,0.34017948709519713,1.6598205129048029,1.6873317078913854,0.31266829210861447,0.014999544,0.008333512,0.023333324
36,0.18051815730920373,0.17440455842330801,0.34017948709511392,1.659820512904886,1.6873317078914167,0.31266829210858321,0.014999544,0.008333512,0.023333324
37,0.18051815730920709,0.17440455842331692,0.34017948709507384,1.6598205129049262,1.6873317078914318,0.31266829210856811,0.014999544,0.008333512,0.023333324
38,0.1805181573092087,0.17440455842332123,0.34017948709505447,1.6598205129049455,1.6873317078914392,0.31266829210856084,0.014999544,0.008333512,0.023333324
39,0.18051815730920948,0.17440455842332328,0.34017948709504525,1.6598205129049548,1.6873317078914427,0.31266829210855734,0.014999544,0.008333512,0.023333324
40,0.17886024089185965,0.17,0.35999999999999993,1.6400000000000001,1.6798710840133684,0.32012891598663162,0.015181085,0.00815217,0.023333324
41,0.17899357422519296,0.17,0.35999999999999993,1.6400000000000001,1.6804710840133683,0.31952891598663169,0.015187128,0.008145999,0.023333324
42,0.17886024089185965,0.17013333333333336,0.35939999999999989,1.6406,1.6798710840133684,0.32012891598663162,0.015167797,0.008165401,0.023333324
43,0.1804935303118522,0.17435226171919221,0.34041482226363506,1.659585177736365,1.6872208864033349,0.3127791135966651,0.015006113,0.008327335,0.023333324
44,0.18061019697851885,0.17435226171919221,0.34041482226363506,1.659585177736365,1.6877458864033348,0.31225411359666516,0.015010705,0.008322753,0.023333324
45,0.1804935303118522,0.17446892838585887,0.33988982226363507,1.6601101777363649,1.6872208864033349,0.3127791135966651,0.014998768,0.008334693,0.023333324
